,PLAYER,NATIONALITY,TYPE,BASE PRICE
0,Tom Banton,Overseas,Wicket-Keeper,"2,00,00,000"
1,Chris Jordan,Overseas,Bowler,"2,00,00,000"
2,Adam Milne,Overseas,Bowler,"2,00,00,000"
3,Travis Head,Overseas,Batter,"2,00,00,000"
4,Rassie Van Der Dussen,Overseas,Batter,"2,00,00,000"
5,Jimmy Neesham,Overseas,All-Rounder,"2,00,00,000"
6,Chris Lynn,Overseas,Batter,"2,00,00,000"
7,Jamie Overton,Overseas,All-Rounder,"2,00,00,000"
8,Craig Overton,Overseas,All-Rounder,"2,00,00,000"
9,Tymal Mills,Overseas,Bowler,"2,00,00,000"
10,Dawid Malan,Overseas,Batter,"1,50,00,000"
11,Sherfane Rutherford,Overseas,Batter,"1,50,00,000"
12,Riley Meredith,Overseas,Bowler,"1,50,00,000"
13,Jason Roy,Overseas,Batter,"1,50,00,000"
14,Sean Abbott,Overseas,All-Rounder,"1,50,00,000"
15,Nathan Coulter-Nile,Overseas,Bowler,"1,50,00,000"
16,Mujeeb Rahman,Overseas,Bowler,"1,00,00,000"
17,Tabraiz Shamsi,Overseas,Bowler,"1,00,00,000"
18,Daryl Mitchell,Overseas,All-Rounder,"1,00,00,000"
19,Mohammad Nabi,Overseas,All-Rounder,"1,00,00,000"
20,Shai Hope,Overseas,Wicket-Keeper,"1,00,00,000"
21,Tom Latham,Overseas,Wicket-Keeper,"1,00,00,000"
22,Michael Bracewell,Overseas,All-Rounder,"1,00,00,000"
23,Andrew Tye,Overseas,Bowler,"1,00,00,000"
24,Luke Wood,Overseas,Bowler,"1,00,00,000"
25,Moises Henriques,Overseas,All-Rounder,"1,00,00,000"
26,Matt Henry,Overseas,Bowler,"1,00,00,000"
27,Roston Chase,Overseas,All-Rounder,"1,00,00,000"
28,Rahkeem Cornwall,Overseas,All-Rounder,"1,00,00,000"
29,Wayne Parnell,Overseas,All-Rounder,"75,00,000"
30,Joshua Philippe,Overseas,Wicket-Keeper,"75,00,000"
31,Ish Sodhi,Overseas,Bowler,"75,00,000"
32,Tom Curran,Overseas,All-Rounder,"75,00,000"
33,Darcy Short,Overseas,All-Rounder,"75,00,000"
34,David Payne,Overseas,Bowler,"75,00,000"
35,Carlos Brathwaite,Overseas,All-Rounder,"75,00,000"
36,Kusal Mendis,Overseas,Wicket-Keeper,"50,00,000"
37,Paul Stirling,Overseas,Batter,"50,00,000"
38,Dasun Shanaka,Overseas,All-Rounder,"50,00,000"
39,Taskin Ahmed,Overseas,Bowler,"50,00,000"
40,Dushmanta Chameera,Overseas,Bowler,"50,00,000"
41,Blessing Muzarabani,Overseas,Bowler,"50,00,000"
42,Sandeep Sharma,Indian,Bowler,"50,00,000"
43,Johnson Charles,Overseas,Wicket-Keeper,"50,00,000"
44,Andre Fletcher,Overseas,Wicket-Keeper,"50,00,000"
45,Lorcan Tucker,Overseas,Wicket-Keeper,"50,00,000"
46,Shahbaz Nadeem,Indian,Bowler,"50,00,000"
47,Reeza Hendricks,Overseas,Batter,"50,00,000"
48,Christiaan Jonker,Overseas,Batter,"50,00,000"
49,Brandon King,Overseas,Batter,"50,00,000"
50,Karun Nair,Indian,Batter,"50,00,000"
51,Pathum Nissaanka,Overseas,Batter,"50,00,000"
52,Gurkeerat Singh,Indian,Batter,"50,00,000"
53,Harry Tector,Overseas,Batter,"50,00,000"
54,Najibullah Zadran,Overseas,Batter,"50,00,000"
55,Qais Ahmad,Overseas,All-Rounder,"50,00,000"
56,Charith Asalanka,Overseas,All-Rounder,"50,00,000"
57,Dominic Drakes,Overseas,All-Rounder,"50,00,000"
58,George Garton,Overseas,All-Rounder,"50,00,000"
59,Chamika Karunaratne,Overseas,All-Rounder,"50,00,000"
60,Sandeep Warrier,Indian,All-Rounder,"50,00,000"
61,Ben Dwarshuis,Overseas,Bowler,"50,00,000"
62,Richard Gleeson,Overseas,Bowler,"50,00,000"
63,Lahiru Kumara,Overseas,Bowler,"50,00,000"
64,Dilshan Madushanka,Overseas,Bowler,"50,00,000"
65,Billy Stanlake,Overseas,Bowler,"50,00,000"
66,Afif Hossain,Overseas,All-Rounder,"50,00,000"
67,Scott Kuggeleijn,Overseas,All-Rounder,"50,00,000"
68,Sisanda Magala,Overseas,All-Rounder,"50,00,000"
69,Dhananjaya Silva,Overseas,All-Rounder,"50,00,000"
70,Dunith Wellalage,Overseas,All-Rounder,"50,00,000"
71,Varun Aaron,Indian,Bowler,"50,00,000"
72,Sheldon Cottrel,Overseas,Bowler,"50,00,000"
73,Daryn Dupavillon,Overseas,Bowler,"50,00,000"
74,Dhawal Kulkarni,Indian,Bowler,"50,00,000"
75,Barinder Sran,Indian,Bowler,"50,00,000"
76,Glenton Stuurman,Overseas,Bowler,"50,00,000"
77,Rehan Ahmed,Overseas,All-Rounder,"50,00,000"
78,Fabian Allen,Overseas,All-Rounder,"50,00,000"
79,Karim Janat,Overseas,All-Rounder,"50,00,000"
80,Keshav Maharaj,Overseas,All-Rounder,"50,00,000"
81,Pawan Negi,Indian,All-Rounder,"50,00,000"
82,Keemo Paul,Overseas,All-Rounder,"50,00,000"
83,Will Smeed,Overseas,Batter,"40,00,000"
84,Jordan Thompson,Overseas,All-Rounder,"40,00,000"
85,Thomas Helm,Overseas,Bowler,"40,00,000"
86,James Fuller,Overseas,All-Rounder,"40,00,000"
87,Benny Howell,Overseas,All-Rounder,"40,00,000"
88,Lance Morris,Overseas,Bowler,"30,00,000"
89,Apoorv Wankhade,Indian,Batter,"30,00,000"
90,Aniket Choudhary,Indian,Bowler,"30,00,000"
91,Shubham Khajuria,Indian,Batter,"20,00,000"
92,Rohan Kunnummal,Indian,Batter,"20,00,000"
93,Chethan L.R.,Indian,Batter,"20,00,000"
94,Himmat Singh,Indian,Batter,"20,00,000"
95,Corbin Bosch,Overseas,All-Rounder,"20,00,000"
96,Priyam Garg,Indian,All-Rounder,"20,00,000"
97,Saurabh Kumar,Indian,All-Rounder,"20,00,000"
98,Shashank Singh,Indian,All-Rounder,"20,00,000"
99,Mohammed Azharuddeen,Indian,Wicket-Keeper,"20,00,000"
100,Dinesh Bana,Indian,Wicket-Keeper,"20,00,000"
101,Abhimanyu Easwaran,Indian,All-Rounder,"20,00,000"
102,Sumit Kumar,Indian,Wicket-Keeper,"20,00,000"
103,Mujtaba Yousuf,Indian,Bowler,"20,00,000"
104,Chintal Gandhi,Indian,Bowler,"20,00,000"
105,Shreyas Gopal,Indian,Bowler,"20,00,000"
106,S Midhun,Indian,Bowler,"20,00,000"
107,Izharulhuq Naveed,Overseas,Bowler,"20,00,000"
108,Sachin Baby,Indian,Batter,"20,00,000"
109,Ashwin Hebbar,Indian,Batter,"20,00,000"
110,Pukhraj Mann,Indian,Batter,"20,00,000"
111,Akshat Raghuwanshi,Indian,Batter,"20,00,000"
112,Himanshu Rana,Indian,Batter,"20,00,000"
113,Shoun Roger,Indian,Batter,"20,00,000"
114,Virat Singh,Indian,Batter,"20,00,000"
115,Gerald Coetzee,Overseas,All-Rounder,"20,00,000"
116,Evan Jones,Overseas,All-Rounder,"20,00,000"
117,Abid Mushtaq,Indian,All-Rounder,"20,00,000"
118,Suryansh Shedge,Indian,All-Rounder,"20,00,000"
119,Jagadeesha Suchith,Indian,All-Rounder,"20,00,000"
120,Ricky Bhui,Indian,Wicket-Keeper,"20,00,000"
121,Baba Indrajith,Indian,Wicket-Keeper,"20,00,000"
122,Sheldon Jackson,Indian,Wicket-Keeper,"20,00,000"
123,Aryan Juyal,Indian,Wicket-Keeper,"20,00,000"
124,Kirant Shinde,Indian,Wicket-Keeper,"20,00,000"
125,Luvnith Sisodia,Indian,Wicket-Keeper,"20,00,000"
126,Vishnu Solanki,Indian,Wicket-Keeper,"20,00,000"
127,Ravi Kumar,Indian,Bowler,"20,00,000"
128,Sushant Mishra,Indian,Bowler,"20,00,000"
129,Arzan Nagwaswalla,Indian,Bowler,"20,00,000"
130,Ishan Porel,Indian,Bowler,"20,00,000"
131,Akash Singh,Indian,Bowler,"20,00,000"
132,Basil Thampi,Indian,Bowler,"20,00,000"
133,Paul Van Meekeren,Overseas,Bowler,"20,00,000"
134,Vyshak Vijay Kumar,Indian,Bowler,"20,00,000"
135,S.Ajith Ram,Indian,Bowler,"20,00,000"
136,Satyajeet Bachhav,Indian,Bowler,"20,00,000"
137,Tejas Baroka,Indian,Bowler,"20,00,000"
138,Yuvraj Chudasama,Indian,Bowler,"20,00,000"
139,Peter Hatzoglou,Overseas,Bowler,"20,00,000"
140,Karthik Meiyappan,Overseas,Bowler,"20,00,000"
141,Shivam Sharma,Indian,Bowler,"20,00,000"
142,Priyansh Arya,Indian,Batter,"20,00,000"
143,Matthew Breetzke,Overseas,Batter,"20,00,000"
144,Shivam Chauhan,Indian,Batter,"20,00,000"
145,Rahul Gahlaut,Indian,Batter,"20,00,000"
146,Sudip Gharami,Indian,Batter,"20,00,000"
147,C. Hari Nishaanth,Indian,Batter,"20,00,000"
148,Amandeep Khare,Indian,Batter,"20,00,000"
149,Bhanu Pania,Indian,Batter,"20,00,000"
150,Ekant Sen,Indian,Batter,"20,00,000"
151,Akash Singh,Indian,Batter,"20,00,000"
152,Himanshu Bisht,Indian,All-Rounder,"20,00,000"
153,Mickil Jaiswal,Indian,All-Rounder,"20,00,000"
154,G.Aniketh Reddy,Indian,All-Rounder,"20,00,000"
155,Atit Sheth,Indian,All-Rounder,"20,00,000"
156,M. Siddharth,Indian,All-Rounder,"20,00,000"
157,Tanay Thyagarajann,Indian,All-Rounder,"20,00,000"
158,Sumeet Verma,Indian,All-Rounder,"20,00,000"
159,Sanjay Yadav,Indian,All-Rounder,"20,00,000"
160,Ajitesh Guruswamy,Indian,Wicket-Keeper,"20,00,000"
161,Yash Kothari,Indian,Wicket-Keeper,"20,00,000"
162,Suresh Kumar,Indian,Wicket-Keeper,"20,00,000"
163,Kumar Kushagra,Indian,Wicket-Keeper,"20,00,000"
164,Anmol Malhotra,Indian,Wicket-Keeper,"20,00,000"
165,Robin Minz,Indian,Wicket-Keeper,"20,00,000"
166,Agniv Pan,Indian,Wicket-Keeper,"20,00,000"
167,Priyesh Patel,Indian,Wicket-Keeper,"20,00,000"
168,Mitesh Patel,Indian,Wicket-Keeper,"20,00,000"
169,Abishek Porel,Indian,Wicket-Keeper,"20,00,000"
170,Bharat Sharma,Indian,Wicket-Keeper,"20,00,000"
171,Vivek Singh,Indian,Wicket-Keeper,"20,00,000"
172,Abhijeet Tomar,Indian,Wicket-Keeper,"20,00,000"
173,Basit Bashir,Indian,Bowler,"20,00,000"
174,Nandre Burger,Overseas,Bowler,"20,00,000"
175,Rasikh Dar,Indian,Bowler,"20,00,000"
176,Sakib Hussain,Indian,Bowler,"20,00,000"
177,Waseem Khanday,Indian,Bowler,"20,00,000"
178,Ravi Kiran Majeti,Indian,Bowler,"20,00,000"
179,Lukman Hussain Meriwala,Indian,Bowler,"20,00,000"
180,Anuj Raj,Indian,Bowler,"20,00,000"
181,Ankit Singh Rajpoot,Indian,Bowler,"20,00,000"
182,Prince Yadav,Indian,Bowler,"20,00,000"
183,Prithviraj Yarra,Indian,Bowler,"20,00,000"
184,Mushtaq Beg,Indian,Bowler,"20,00,000"
185,Rocky Bhasker,Indian,Bowler,"20,00,000"
186,Sanjith Devaraj,Indian,Bowler,"20,00,000"
187,Allah Mohammad,Overseas,Bowler,"20,00,000"
188,Lalit Mohan,Indian,Bowler,"20,00,000"
189,Bhuwan Rohilla,Indian,Bowler,"20,00,000"
190,Aman Sharma,Indian,Bowler,"20,00,000"
191,Manav Suthar,Indian,Bowler,"20,00,000"
192,Anirudh Balachander,Indian,Batter,"20,00,000"
193,Gourav Choudhary,Indian,Batter,"20,00,000"
194,Saurav Chuahan,Indian,Batter,"20,00,000"
195,Kumar Deobrat,Indian,Batter,"20,00,000"
196,Chirag Gandhi,Indian,Batter,"20,00,000"
197,Arman Jaffer,Indian,Batter,"20,00,000"
198,Madhav Kaushik,Indian,Batter,"20,00,000"
199,Priyank Panchal,Indian,Batter,"20,00,000"
200,Ayush Pandey,Indian,Batter,"20,00,000"
201,Rohan Patil,Indian,Batter,"20,00,000"
202,Sanjay Ramaswamy,Indian,Batter,"20,00,000"
203,Siddharth Yadav,Indian,Batter,"20,00,000"
204,Prayas Barman,Indian,All-Rounder,"20,00,000"
205,Rahul Buddhi,Indian,All-Rounder,"20,00,000"
206,Vaisakh Chandran,Indian,All-Rounder,"20,00,000"
207,Writtick Chatterjee,Indian,All-Rounder,"20,00,000"
208,Prashant Chopra,Indian,All-Rounder,"20,00,000"
209,Harsh Dubey,Indian,All-Rounder,"20,00,000"
210,Tanush Kotian,Indian,All-Rounder,"20,00,000"
211,Ninad Rathva,Indian,All-Rounder,"20,00,000"
212,B. Surya,Indian,All-Rounder,"20,00,000"
213,Shivank Vashisth,Indian,All-Rounder,"20,00,000"
214,Ankush Bains,Indian,Wicket-Keeper,"20,00,000"
215,Christopher Benjamin,Overseas,Wicket-Keeper,"20,00,000"
216,Connor Esterhuizen,Overseas,Wicket-Keeper,"20,00,000"
217,Mohd Arslan Khan,Indian,Wicket-Keeper,"20,00,000"
218,Mamidi Krishna,Indian,Wicket-Keeper,"20,00,000"
219,Fazil Makaya,Indian,Wicket-Keeper,"20,00,000"
220,Akshdeep Nath,Indian,Wicket-Keeper,"20,00,000"
221,Deepak Punia,Indian,Wicket-Keeper,"20,00,000"
222,Ateev Saini,Indian,Wicket-Keeper,"20,00,000"
223,Bipin Saurabh,Indian,Wicket-Keeper,"20,00,000"
224,B.R. Sharath,Indian,Wicket-Keeper,"20,00,000"
225,Yashovardhan Singh,Indian,Wicket-Keeper,"20,00,000"
226,Lakshay Thareja,Indian,Wicket-Keeper,"20,00,000"
227,Mohit Avasthi,Indian,Bowler,"20,00,000"
228,Ottneil Baartman,Overseas,Bowler,"20,00,000"
229,Gurnoor Singh Brar,Indian,Bowler,"20,00,000"
230,Shahrukh Dar,Indian,Bowler,"20,00,000"
231,Pankaj Jaswal,Indian,Bowler,"20,00,000"
232,Venkatesh Muralidhara,Indian,Bowler,"20,00,000"
233,Geet Puri,Indian,Bowler,"20,00,000"
234,E. Sanketh,Indian,Bowler,"20,00,000"
235,Ajay Sarkar,Indian,Bowler,"20,00,000"
236,Ashok Sharma,Indian,Bowler,"20,00,000"
237,Kanwar Singh,Indian,Bowler,"20,00,000"
238,Shivam Chaudhary,Indian,All-Rounder,"20,00,000"
239,Ashwin Das,Indian,All-Rounder,"20,00,000"
240,Chirag Jani,Indian,All-Rounder,"20,00,000"
241,Akshay Karnewar,Indian,All-Rounder,"20,00,000"
242,Bhagmender Lather,Indian,All-Rounder,"20,00,000"
243,Lone Muzaffar,Indian,All-Rounder,"20,00,000"
244,Pulkit Narang,Indian,All-Rounder,"20,00,000"
245,Rohit Rayudu,Indian,All-Rounder,"20,00,000"
